kata_slang;kata_baku
hp;ponsel
hrga;harga
hrs;harus
hrsnya;harusnya
hut;hari ulang tahun
hy;hanya
idem;diam
ig;instagram
ikutin;ikuti
impich;mimpi
indo;indonesia
indonesi;indonesia
infrastruktur;prasarana
inget;ingat
initu;ini
insert;memasukan
inspeksi;pemeriksaan
install;pasang
inti;utama
intrik;bohong
intrik;kabar bohong
intrikkk;intrik
iow;dengan kata lain
ipon;iphone
ir;insinyur
isine;isinya
isinua;isinya
iso;bisa
issu;isu
issue;isu
isue;isu
isuenya;isunya
isyu;isu
it;itu
iti;itu
iy;ya
jadual;jadwal
jadul;lama
jajaheun;jauh
jane;katanya
jare;katanya
jbtn;jabatan
jd;jadi
jdi;jadi
jdnya;jadinya
jebolan;lulusan
jejangan;petunjuk
jempol;ibu jari
jeneng;nama
jengkelin;menjengkelkan
jerat;kena
jeung;sama
jg;juga
jga;juga
jgan;jangan
jgn;jangan
jgnkan;jangan
jidat;dahi
jigana;sepertinya
jikowi;jokowi
jk;jika
jkw;jokowi
jl;jalan
jln;jalan
jlnan;jalanan
jls;jelas
jmbut;jembut
jng;jangan
jngn;jangan
join;gabung
jokes;bercanda
jowoki;jokowi
jujurly;sejujurnya
justivikasi;pembenaran
jutek;galak
jt;juta
kab;kabupaten
kabare;kabarnya
kabeh;semua
kacau;hancur
kaco;kacau
kadron;kadrun
kaga;tidak
kagak;tidak
kaget;kejut
kalo;kalau
kamseupay;kampungan
kanca;teman
kancah;tingkat
karepmu;terserah kamu
karn;karena
karna;karena
karuane;mendingan
kau;anda
kawanbinnya;kawan binaannya
kaya;seperti
kayak;seperti
kayaknya;sepertinya
kayanya;sepertinya
kbr;kabar
kca;kaca
kdg;kadang
kdrun;kadrun
kebalik;terbalik
kebebesan;kebebasan
kebelet;tidak tahan
kebo;kerbau
kedah;terbuka
kekacaun;kekacauan
keknya;sepertinya
kelakuan;perbuatan
keles;kali
keleus;kali
kelojot;kejang
kemaren;kemarin
kembang;progres
kena;sentuh
kene;aja
kenehlah;masih
kenpa;kenapa
kepilih;terpilih
kepla;kepala
kepo;penasaran
kerap;tuai
kerawat;pelihara
kere;miskin
kerenn;keren
kerjomu;kerja kamu
kesalahane;kesalahannya
ket;ko
ketat;erat
ketidak;tidak
ketidakpastian;tidak pastian
ketimbang;dibanding
ketok;ketuk
ketuk;kelihatannya
ketum;ketua umum
kgk;tidak
ki;semua
kian;semakin
kicep;diam
kick off;memulai
kickoff;mulai
kinclong;bersih
king;raja
kipak;bohong
kiro;kira
kitu;gitu
kk;kakak
kl;kalau
klau;kalau
klean;kalian
kliru;salah anggapan
klo;kalau
klon;duplikat
klrg;keluarga
klu;kalau
km;kamu
kmbali;kembali
kmdn;kemudian
kmn;kemana
kmren;kemarin
kmrn;kemarin
kn;kan
knapa;kenapa
kno;gitu
know;tahu
knp;kenapa
knpa;kenapa
kntl;kontol
koar;teriak
kocak;lucu
koe;kamu
koen;kamu
kolor;celana dalam
komo;apa
kompeten;ahli
kompetisi;persaingan
kongkow;kumpul kumpul
kontinyu;berlanjut
kontra;lawan
korbankn;korbankan
korup;korupsi
kowe;kamu
koyo;seperti
koyok;seperti
koyone;sepertinya
kpan;kapan
kpd;kepada
kpn;kapan
kpnstitusi;konstitusi
krja;kerja
krl;kereta rel listrik
krn;karena
